Age;Sexe;Nationalite;Quartier
96;F;L;LIMPERTSBERG
98;F;L;BELAIR
98;F;L;VILLE-HAUTE
96;F;L;VILLE-HAUTE
97;F;L;LIMPERTSBERG
97;F;L;VILLE-HAUTE
97;F;L;VILLE-HAUTE
100;F;L;MERL
98;M;L;PFAFFENTHAL
97;F;L;VILLE-HAUTE
99;M;L;LIMPERTSBERG
97;F;L;ROLLINGERGRUND/BELAIR-NORD
98;F;L;GARE
98;F;L;BELAIR
96;F;L;HAMM
100;F;L;PFAFFENTHAL
97;F;L;LIMPERTSBERG
97;M;F;GARE
96;F;L;ROLLINGERGRUND/BELAIR-NORD
96;F;L;NEUDORF/WEIMERSHOF
99;M;L;HOLLERICH
92;F;L;BELAIR
93;F;L;VILLE-HAUTE
93;F;L;PFAFFENTHAL
95;F;L;BONNEVOIE-NORD/VERLORENKOST
92;M;L;BONNEVOIE-SUD
94;M;L;VILLE-HAUTE
93;F;L;VILLE-HAUTE
93;M;L;CLAUSEN
94;M;L;HAMM
94;F;L;BELAIR
94;M;L;HAMM
94;F;F;KIRCHBERG
95;F;L;VILLE-HAUTE
95;F;L;VILLE-HAUTE
95;M;L;DOMMELDANGE
94;M;NL;CENTS
93;F;L;NEUDORF/WEIMERSHOF
93;M;L;MERL
93;F;L;GRUND
94;F;L;BELAIR
94;M;L;MUEHLENBACH
92;F;L;NEUDORF/WEIMERSHOF
92;M;L;HAMM
92;M;L;BELAIR
96;F;I;MERL
92;F;L;VILLE-HAUTE
92;F;L;VILLE-HAUTE
95;F;L;VILLE-HAUTE
94;F;L;VILLE-HAUTE
94;F;L;BELAIR
95;F;L;HOLLERICH
95;F;F;LIMPERTSBERG
95;F;L;DOMMELDANGE
92;M;L;CESSANGE
92;M;L;NEUDORF/WEIMERSHOF
95;M;L;HOLLERICH
94;F;L;LIMPERTSBERG
92;M;L;MERL
93;F;L;GRUND
92;M;L;BELAIR
92;F;L;PFAFFENTHAL
93;M;L;BONNEVOIE-NORD/VERLORENKOST
93;M;L;HOLLERICH
93;F;L;VILLE-HAUTE
93;F;I;BELAIR
92;M;L;ROLLINGERGRUND/BELAIR-NORD
92;F;L;LIMPERTSBERG
93;M;L;GASPERICH
92;F;L;VILLE-HAUTE
94;F;L;BELAIR
94;M;L;HOLLERICH
88;M;D;KIRCHBERG
89;F;L;CESSANGE
88;M;L;DOMMELDANGE
89;F;L;VILLE-HAUTE
91;F;L;VILLE-HAUTE
88;F;L;VILLE-HAUTE
88;M;L;LIMPERTSBERG
91;F;L;BELAIR
91;F;L;GARE
89;F;L;HOLLERICH
91;M;L;LIMPERTSBERG
90;F;F;HOLLERICH
90;F;L;BONNEVOIE-SUD
89;M;L;BEGGEN
89;M;F;GARE
91;F;B;KIRCHBERG
91;F;L;ROLLINGERGRUND/BELAIR-NORD
90;F;I;BONNEVOIE-SUD
90;F;L;CENTS
91;M;L;BELAIR
90;F;L;GARE
90;M;L;LIMPERTSBERG
89;F;L;CENTS
89;F;F;HOLLERICH
89;F;L;CESSANGE
90;F;L;VILLE-HAUTE
91;M;L;LIMPERTSBERG
90;M;D;LIMPERTSBERG
89;F;L;MUEHLENBACH
90;F;L;NEUDORF/WEIMERSHOF
89;F;L;CENTS
89;M;L;BEGGEN
91;F;L;BEGGEN
91;F;L;BONNEVOIE-SUD
89;M;L;BEGGEN
90;M;GB;ROLLINGERGRUND/BELAIR-NORD
89;F;L;CENTS
91;M;L;GARE
88;M;B;BONNEVOIE-SUD
88;F;L;VILLE-HAUTE
88;F;L;BELAIR
88;M;L;LIMPERTSBERG
88;F;L;HAMM
89;M;L;KIRCHBERG
89;F;L;LIMPERTSBERG
89;F;L;GRUND
92;F;L;CESSANGE
92;F;I;HOLLERICH
88;F;L;BONNEVOIE-SUD
90;F;L;MERL
90;F;L;DOMMELDANGE
88;F;L;PFAFFENTHAL
88;M;L;NEUDORF/WEIMERSHOF
91;M;L;DOMMELDANGE
91;F;L;LIMPERTSBERG
90;M;NL;MUEHLENBACH
91;M;I;EICH
91;M;L;HOLLERICH
90;F;L;GARE
89;F;L;BONNEVOIE-NORD/VERLORENKOST
90;F;D;CESSANGE
90;M;L;CENTS
88;F;L;MERL
88;F;L;BONNEVOIE-SUD
92;M;L;BELAIR
91;M;I;LIMPERTSBERG
88;F;L;BELAIR
88;F;L;GARE
88;F;L;BONNEVOIE-NORD/VERLORENKOST
89;M;L;BONNEVOIE-SUD
89;F;L;BONNEVOIE-SUD
89;M;L;BELAIR
89;F;L;GARE
89;M;L;ROLLINGERGRUND/BELAIR-NORD
90;F;L;GASPERICH
90;M;L;NEUDORF/WEIMERSHOF
89;F;L;BELAIR
89;F;L;BONNEVOIE-NORD/VERLORENKOST
89;F;L;BELAIR
89;F;P;LIMPERTSBERG
92;M;L;LIMPERTSBERG
92;F;L;ROLLINGERGRUND/BELAIR-NORD
91;F;L;BONNEVOIE-SUD
91;F;L;GARE
91;F;L;BELAIR
91;F;L;BELAIR
90;F;L;MUEHLENBACH
90;F;L;HAMM
91;M;B;LIMPERTSBERG
92;F;L;GASPERICH
92;M;D;HOLLERICH
91;F;L;BONNEVOIE-SUD
85;F;F;PFAFFENTHAL
86;F;B;BELAIR
86;F;L;HAMM
84;M;F;GARE
84;F;L;LIMPERTSBERG
87;M;L;MERL
86;M;L;HOLLERICH
87;M;L;BONNEVOIE-SUD
87;F;P;GARE
84;F;L;PFAFFENTHAL
84;M;L;BEGGEN
86;M;L;HOLLERICH
88;M;L;VILLE-HAUTE
87;F;L;LIMPERTSBERG
85;M;L;HOLLERICH
88;F;L;CESSANGE
88;F;L;HOLLERICH
87;F;L;BONNEVOIE-NORD/VERLORENKOST
87;M;L;HOLLERICH
85;F;F;MERL
85;F;L;HAMM
85;F;L;LIMPERTSBERG
85;M;CV;BELAIR
87;F;L;GASPERICH
87;F;L;BELAIR
87;M;LGB;HOLLERICH
85;M;L;NEUDORF/WEIMERSHOF
87;F;L;HAMM
87;M;L;CENTS
87;M;L;VILLE-HAUTE
88;M;I;BELAIR
85;M;P;EICH
86;F;F;BELAIR
86;F;L;GASPERICH
85;M;L;LIMPERTSBERG
88;F;L;HAMM
86;F;L;PFAFFENTHAL
86;F;L;BONNEVOIE-SUD
86;F;D;LIMPERTSBERG
86;F;L;CESSANGE
86;F;L;GASPERICH
86;F;L;GARE
85;M;I;BELAIR
85;F;F;BELAIR
85;F;I;BONNEVOIE-SUD
87;F;L;GARE
85;M;L;CENTS
88;F;L;CESSANGE
86;F;L;VILLE-HAUTE
86;F;L;LIMPERTSBERG
85;M;NL;BELAIR
85;F;I;BONNEVOIE-SUD
85;F;L;BONNEVOIE-SUD
88;M;L;ROLLINGERGRUND/BELAIR-NORD
88;F;L;VILLE-HAUTE
88;F;L;HAMM
86;M;P;GASPERICH
88;F;I;LIMPERTSBERG
85;M;L;ROLLINGERGRUND/BELAIR-NORD
85;M;L;CENTS
88;F;L;BONNEVOIE-SUD
87;M;L;CENTS
86;F;F;BELAIR
86;M;L;VILLE-HAUTE
87;M;L;CESSANGE
87;F;L;VILLE-HAUTE
88;M;B;BELAIR
88;M;L;HAMM
